-666	701
-1198	-101
-759	-2094
696	452
-555	283
-38	83
-1170	-251
652	422
-750	1499
193	-226
-1183	1319
206	-112
2005	-503
1007	758
-2251	-246
-546	-239
242	-347
973	1242
773	1342
83	-2054
521	1479
-1726	-830
774	520
-1675	744
1677	1132
149	1034
-253	-1662
900	799
644	-1457
528	-625
2093	1866
389	-972
-569	-866
-1024	-1229
46	578
-335	-454
278	-497
-1788	246
-847	327
-1377	1384
627	120
533	407
-1181	1235
27	1545
1651	-276
860	849
-500	-893
-1145	471
-800	-360
-678	-60
-1287	-1486
-1085	343
759	1116
352	-569
2108	-1665
4	-920
2095	-455
409	-1534
-289	-1256
1374	-1130
266	922
2224	633
-670	-1712
662	291
-2073	-552
-1385	878
-640	102
456	79
-188	-347
-794	-193
-555	-662
953	1102
745	-690
-1448	-180
371	1611
-128	1397
1281	762
458	-627
1294	-440
1267	1447
1319	551
-184	-308
-1022	1403
57	-626
293	-14
318	1030
814	-569
54	1698
1073	548
-2283	-1443
972	-402
1649	-450
60	-12
-1437	1587
637	-1336
-395	218
-1853	-1107
1106	1275
519	1402
-5	-2271
-9	30
723	571
-1514	-118
-306	1256
320	-435
-670	-430
-1321	150
537	68
-404	694
1109	-416
-1397	1657
1087	-466
-401	-608
-390	-1086
-1079	112
192	-1614
-638	558
-748	-1553
479	563
-912	-1731
322	-568
1799	-402
-2892	313
129	665
-1218	-289
1742	-141
22	-261
-1369	-21
