145	443
152	-193
-158	-118
-1336	204
-21	1426
-881	-1091
145	49
-680	171
1098	220
1086	-797
-84	1169
360	2041
-1472	2820
1068	434
47	1674
483	252
-1849	-657
-489	320
233	-707
1587	-735
-219	223
475	994
-1578	1513
913	738
-640	-475
-834	1556
-447	-1169
8	201
-1460	-856
38	-436
1599	598
-1038	-893
338	2399
-825	8
-879	-1071
795	-1877
168	2024
-1099	-1619
-554	-112
2391	369
-1916	403
-260	574
-1082	740
-14	0
445	-715
-1077	-1484
-792	-1396
-2369	217
-1034	1578
-1198	-35
-2590	774
2093	-1399
367	877
-1281	-1858
1046	-980
-173	2153
-1081	87
-191	-1940
12	462
188	167
-291	1396
-2297	-169
718	-461
-1274	-650
-526	-76
-494	554
1834	2008
-154	-1035
465	888
-132	159
-3	-1110
2394	-401
-62	-138
-1204	250
-4	-1759
-1206	64
1992	-236
5	-600
-1518	518
1262	-1131
-1660	-237
-811	330
1074	1350
-1314	-895
-489	-775
-1961	-162
1092	1466
-244	-38
726	198
-234	955
-1567	-1072
-18	835
58	-1138
1011	713
692	-139
1057	-1232
-39	631
633	1041
-1123	69
-433	425
-1246	-399
-259	-119
122	1257
397	-752
938	-19
-618	19
810	1268
-123	-1167
1117	-1827
-495	2283
524	-1494
-92	236
-798	-324
-89	1706
-474	-898
231	-1924
-1308	-936
-789	833
-179	26
266	1725
-356	126
-291	915
457	764
177	-738
-1074	246
-457	-265
-640	609
-1472	1433
