327	953
-1215	-1234
-1127	95
500	-757
86	874
-1228	129
-1018	1176
-1010	-533
124	643
2179	-1797
39	-204
672	546
-296	-697
-1758	-291
280	574
-226	314
-139	614
1251	888
-1668	-461
51	1160
1614	486
-65	1274
704	-658
-279	2087
1257	-242
-252	-1401
-49	967
200	400
1319	145
1266	618
539	-157
-353	226
-30	569
-1090	-1085
-1080	1134
682	288
361	-1184
1302	1167
265	-1748
1469	518
-250	-367
-164	-210
-5	-475
-676	-48
-804	746
480	-2085
342	-331
-510	-246
11	274
1763	-1376
627	515
483	1204
485	-588
417	-1275
-869	1021
-1793	198
211	1743
1449	-1486
948	-228
1612	-348
-1431	899
814	-486
-1532	-1032
-657	-646
