-449	2689
-275	-806
-1052	-581
-387	-482
232	-510
2572	-243
-1796	877
-629	897
-432	-18
-180	-1052
667	-1616
-823	-371
1312	267
977	-2374
1026	-1500
-234	-2560
645	-257
2436	888
-621	661
689	1425
170	345
-539	65
335	-2013
705	-884
330	-701
1953	516
7	725
-554	-450
-1141	591
-27	-1738
462	1238
27	-231
575	-563
-887	-1164
421	986
-641	-535
543	-669
139	291
130	712
1243	-270
2368	466
-911	37
-1436	-1385
624	106
-730	630
1778	246
1451	104
-1771	-952
1606	417
869	645
-392	101
-2677	1192
-968	-296
477	124
1058	2718
-1468	813
-525	920
-1199	-315
957	616
1954	-945
-825	129
1611	1909
1583	-1991
-374	-435
