0	-411
-902	1161
410	-440
-188	193
496	2018
854	-933
-672	-42
-83	-479
-382	939
-1146	833
-616	774
322	-447
973	774
-524	-1732
-42	-528
-2294	-749
-143	-1405
1641	-84
-1158	-370
611	-322
961	-540
-91	-815
-142	234
-456	-1037
265	757
645	2359
-2238	1871
-34	806
-458	2087
957	-184
-530	-329
-1180	-411
-1043	104
-824	-180
-2207	-1061
773	-1412
-513	-305
1082	958
1964	499
303	439
-825	570
-1443	-347
-814	-321
988	368
541	1567
306	443
565	-413
437	325
-1153	-1030
-500	-1848
-883	-1545
665	761
-174	-871
639	-839
-285	-542
148	912
923	250
-784	-1599
-66	835
1833	151
-280	1178
560	-201
2047	877
-591	-382
